index,description,source
7,Mike's Hard Lemonade Hard Beverage 6pk 12oz Btls,TotalWine
7,Smirnoff Ice Original Hard Beverage 6pk 11oz Btls,TotalWine
7,NOCA Boozy Iced Tea 12pk 12oz Cans,TotalWine
7,Cayman Jack Margarita Hard Beverage 6pk 11oz Btls,TotalWine
7,BeatBox Blue Razzberry 500ml,TotalWine
1,Deep Eddy Grapefruit Vodka Soda 4pk 12oz Cans,TotalWine
7,Schilling Excelsior Hard Cider 6pk 12oz Cans,TotalWine
7,Smirnoff Ice Screwdriver 6pk 11oz Btls,TotalWine
7,Rekorderlig Strawberry Lime Cider 4 11.2oz Cans,TotalWine
7,Cayman Jack Zero Sugar 6pk 12oz Btls,TotalWine
7,Mike's Hard Strawberry Lemonade 6pk 12oz Btls,TotalWine
7,Mike's Hard Lemonade Zero Sugar 6pk 12oz Btls,TotalWine
7,Jack Daniels Southern Peach Hard Beverage 6pk 10oz Btls,TotalWine
7,Rekorderlig Wild Berries Cider 4 11.2oz Cans,TotalWine
7,Golden State Bay Brut 4pk 16oz Cans,TotalWine
7,Schilling Mango Excelsior 6pk 12oz Cans,TotalWine
7,BeatBox Hard Tea 500ml,TotalWine
7,NOCA Livin Lemonade Variety 12pk 12oz Cans,TotalWine
7,Ace Pineapple Hard Cider 6pk 12oz Btls,TotalWine
7,Maui Brewing Hard Seltzer Mix Pack 12pk 12oz Cans,TotalWine
7,Mike's Hard Freeze 12pk 12oz Cans,TotalWine
7,Jack Daniels Downhome Punch 6pk 10oz Btls,TotalWine
7,2 Towns Tropical Cosmic Crisp 6pk 12oz Cans,TotalWine
7,Ace High Imperial Apple Cider 6pk 12oz Cans,TotalWine
7,2 Towns Cosmic Crisp Hard Cider 6pk 12oz Cans,TotalWine
7,Jack Daniels Watermelon Punch 6pk 10oz Btls,TotalWine
7,2 Towns Blueberry Cosmic Crisp 6pk 12oz Cans,TotalWine
7,Mike's Hard Mango Punch 6pk 12oz Btls,TotalWine
7,Ace Guava Cider 6pk 12oz Cans,TotalWine
7,BeatBox Fresh Watermelon 500ml,TotalWine
7,Angry Orchard Imperial 6pk 12oz Cans,TotalWine
7,Smirnoff SMASH Screwdriver 24oz,TotalWine
7,Mike's Harder Lemonade 24oz Can,TotalWine
7,Smirnoff Ice Red White and Berry Hard Beverage 6pk 11oz Btls,TotalWine
7,Smirnoff Ice Raspberry 6pk 11oz Btls,TotalWine
7,2 Towns Pacific Pineapple 6pk 12oz Cans,TotalWine
7,Coronado Nice and Dry USDA Certified Organic Cider 4pk 16oz Cans,TotalWine
7,Ashland Mixed Berry Variety 12pk 12oz Cans,TotalWine
7,2 Towns Raspberry Cosmic Crisp 6pk 12oz Cans,TotalWine
7,JuneShine Blood Orange Mint Hard Kombucha 6pk 12oz Cans,TotalWine
7,Cayman Jack Margarita Hard Beverage 1.5L,TotalWine
7,2 Towns Dark Cherry Bad Apple 4pk 12oz Cans,TotalWine
7,2 Towns The Bad Apple 500ml,TotalWine
7,Brouwerij West Things for Your Head Hard Seltzer Variety 12pk 12oz Cans,TotalWine
7,Passion Tree Co Hard Seltzer Variety Pack 12pk 12oz Cans,TotalWine
7,Jack Daniels Cherry Limeade 6pk 10oz Btls,TotalWine
7,Vendange ViBE by Strawberry Limeade 500ml,TotalWine
7,2 Towns Made Marion 6pk 12oz Cans,TotalWine
7,Golden State Gingergrass 4pk 16oz Cans,TotalWine
7,SoCal Cider Orange Sunshine 4pk 16oz Cans,TotalWine
7,SoCal Cider Life's Peach 4pk 16oz Cans,TotalWine
7,Vendange ViBE by Fruit Punch 500ml,TotalWine
7,Vendange ViBE by Blue Raspberry Lemonade 500ml,TotalWine
7,Vendange VIBE by Peach 500ml,TotalWine
7,Coronado Super Fruit USDA Certified Organic Cider 4pk 16oz Cans,TotalWine
7,Smirnoff SMASH Peach Mango 23oz,TotalWine
7,2 Towns Marissimo 375ml,TotalWine
7,Finnriver Habanero Cider 500ml,TotalWine
7,2 Towns Cosmic Explorer Variety 12pk 12oz Cans,TotalWine
7,Golden State Cider Unfiltered 4pk 16oz Cans,TotalWine
7,99 Brand Hard Seltzer 12pk 12oz Cans,TotalWine
7,Ohza Classic Mimosa 4pk 12oz Cans,TotalWine
7,Ace Mango Cider 6pk 12oz Cans,TotalWine
7,Ace Perry Cider (Pear) 6pk 12oz Btls,TotalWine
7,Ashland Tropical Variety Pack 12pk 12oz Cans,TotalWine
7,Tieton Honey Lavendar Cider 6pk 12oz Cans,TotalWine
7,Martinelli's Cider 1868 Hard 6pk 12oz Btls,TotalWine
7,Lunar Passion Fruit Hard Seltzer 4pk 12oz Cans,TotalWine
7,2 Towns Hollow Jack'd 500ml,TotalWine
7,Portland Cider Passion Orange Guava 6pk 12oz Cans,TotalWine
7,Stem Cider Salted Cucumber Apple 4pk 12oz Cans,TotalWine
7,MAHA Seltzer Variety Pack 12pk 12oz Cans,TotalWine
7,2 Towns Two Berry Dream 6pk 12oz Cans,TotalWine
7,2 Towns Crimson Bliss 6pk 12oz Cans,TotalWine
7,Tieton Hazy Strawberry Cider 6pk 12oz Cans,TotalWine
7,Portland Cider Imperial Peach Tea 6pk 12oz Cans,TotalWine
7,Golden State Save The Gravenstein 4pk 16oz Cans,TotalWine
7,2 Towns Return Of The Mack 500ml,TotalWine
7,Coronado Hibiscus & Lime Hard Cider 4pk 16oz Cans,TotalWine
7,Ohza Variety Pack 8pk 12oz Cans,TotalWine
7,2 Towns Apricot Cosmic Crisp 6pk 12oz Cans,TotalWine
7,Playamar Jose Cuervo Lime Hard Seltzer 4pk 12oz Cans,TotalWine
6,Hard Mountain Dew Baja Blast 24oz Can,TotalWine
7,Ace Pineapple Hard Cider 1/6 Keg,TotalWine
7,2 Towns Pacific Pineapple 1/6 Keg,TotalWine
5,TRULY VODKA SELTZER TWIST OF FLAVOR VARIETY 12 OZ 8-PK CANS,https://avonwines.com/shop/product/truly-vodka-seltzer-twist-of-flavor-variety-12-oz-8-pk-cans/62ec02fd68bdd75764c3eedc?option-id=045d1ea67f91af204c9393e7dd973426794e96a3a0956524efa99dde3ede86e7
6,Mountain Dew Hard Baja Blast 24 oz cans,https://beverages2u.com/product/mountain-dew-hard-baja-blast-24-oz-cans/
2,Suntory Minus 196 Variety Pack Vodka Seltzer 8pk 12 oz,https://brownderby.com/shop/product/suntory-minus-196-variety-pack-vodka-seltzer/65b3e4f5502fa44b917b76e6?option-id=1bc2964b8a978294397132e3689670d767fdafc4ea1ef914b7932600fb0f7ab8
